USER_ID,MOVIE_ID,RATING,RATING_DATE,RATING_TIME,RATING_HOUR
3312,2012,3,2003-12-03,21:24:17.000,21
3313,715,3,1996-07-16,16:59:12.000,16
3314,1265,3,2001-03-08,20:12:32.000,20
3315,608,3,1997-11-15,19:21:26.000,19
3315,1220,3,1997-11-15,19:52:59.000,19
3316,21,3,1998-09-25,20:13:27.000,20
3316,173,2,1998-09-25,20:24:32.000,20
3316,327,3,1998-09-25,20:21:51.000,20
3316,529,4,1998-09-26,18:09:04.000,18
3316,737,1,1998-09-25,20:25:26.000,20
3316,1059,4,1998-09-25,19:51:24.000,19
3316,1250,4,1998-09-26,18:08:32.000,18
3316,1404,2,1998-09-26,18:02:14.000,18
3316,1610,3,1998-09-25,20:28:16.000,20
3316,1920,4,1998-09-25,19:42:05.000,19
3316,2294,4,1998-11-19,16:44:29.000,16
3317,1304,4,2001-11-27,03:30:41.000,3
3317,2581,3,2002-02-16,03:02:17.000,3
3317,3176,4,2002-02-16,03:04:53.000,3
3317,4344,4,2002-02-16,03:26:04.000,3
3318,31,3,2000-11-19,19:52:32.000,19
3318,111,4,2005-05-18,05:04:12.000,5
3318,188,3,2000-11-19,19:42:12.000,19
3318,273,4,2000-11-27,21:45:19.000,21
3318,355,2,2000-11-19,20:39:01.000,20
3318,426,3,2000-11-19,19:44:35.000,19
3318,479,2,2000-11-19,20:18:06.000,20
3318,540,3,2000-11-19,20:40:18.000,20
3318,647,2,2000-11-19,19:15:16.000,19
3318,766,3,2000-11-28,01:41:29.000,1
3318,870,2,2006-03-21,00:26:02.000,0
3318,1030,3,2000-12-02,22:50:36.000,22
3318,1101,3,2000-12-02,07:44:44.000,7
3318,1240,3,2000-12-02,07:42:34.000,7
3318,1333,4,2002-02-03,20:00:48.000,20
3318,1394,4,2000-12-02,07:51:23.000,7
3318,1484,3,2001-01-13,18:06:24.000,18
3318,1588,4,2000-11-27,21:55:33.000,21
3318,1658,4,2000-11-19,19:37:48.000,19
3318,1753,4,2000-11-19,19:20:22.000,19
3318,1869,3,2000-11-19,20:31:13.000,20
3318,1973,1,2000-11-19,18:42:10.000,18
3318,2020,3,2000-12-02,08:03:41.000,8
3318,2092,3,2000-11-28,01:54:02.000,1
3318,2140,4,2000-12-02,07:50:32.000,7
3318,2253,3,2001-06-30,23:18:24.000,23
3318,2338,3,2000-11-19,20:34:22.000,20
3318,2400,2,2000-12-02,07:50:45.000,7
3318,2451,3,2000-12-02,08:11:39.000,8
3318,2507,1,2000-11-19,19:50:05.000,19
